,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
2718,1,0,0,1,40,0,1,0,2,2,0,2,0,0,1,0,3,40.25,1012
3991,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,1,20.75,1621
7340,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.087440960975936,2148
4692,0,0,1,1,57,1,0,2,1,1,1,1,1,1,2,0,0,19.75,501
864,0,0,0,1,13,0,1,0,0,2,0,0,0,0,0,0,2,30.15,3271
391,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,45.4,4345
6229,1,0,0,0,42,1,2,1,0,0,2,0,0,0,0,0,2,79.9,2878
6751,0,0,1,0,69,1,2,1,0,2,2,2,2,2,1,1,1,109.66164058034971,5848
7143,0,0,0,0,3,1,2,1,0,1,1,0,2,1,0,1,0,99.53009258884614,2802
7943,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,44.400259744068606,3741
8671,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,2,46.79941221604197,559
7282,0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,0,1,84.01351072779151,796
9360,0,0,0,0,8,1,2,1,0,0,1,0,2,2,0,0,1,97.86155589430325,6378
2990,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,44.9,209
2238,0,1,0,0,27,1,2,1,0,2,2,0,0,0,0,1,0,86.45,2047
4844,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,1,3,69.05,2761
5018,0,1,0,0,20,1,2,0,0,0,0,0,0,2,0,1,3,61.6,325
5392,1,1,0,0,20,1,0,1,0,0,0,0,0,0,0,0,1,71.3,704
3570,0,0,1,1,19,1,2,2,1,1,1,1,1,1,2,0,3,25.6,4092
1209,1,1,0,0,16,1,2,1,0,0,0,0,2,0,0,1,2,86.6,514
749,1,0,1,1,43,1,0,0,2,0,2,2,2,2,2,1,1,79.15,3088
7326,0,0,0,0,18,0,1,0,0,0,0,0,1,1,0,1,1,46.40407553295062,6314
3055,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,69.1,5440
1499,1,0,1,1,53,1,0,2,1,1,1,1,1,1,2,1,3,19.4,213
8739,0,0,0,0,5,1,1,1,0,1,0,0,0,0,0,1,2,79.32693265034482,3512
1718,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,2,45.55,3440
594,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,3,74.6,5722
58,0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2143
5650,0,1,0,0,47,1,2,1,0,2,0,2,2,0,0,1,2,95.05,3831
631,1,0,1,1,31,1,2,0,2,2,0,2,0,2,1,1,0,75.25,1979
1362,1,0,1,0,31,1,2,1,0,0,2,0,2,0,0,0,1,88.65,2334
1500,1,0,0,0,27,1,2,0,0,0,2,2,0,0,0,0,2,59.45,1073
6320,1,0,1,1,38,1,2,1,0,0,2,2,2,0,2,1,0,94.9,3125
5926,1,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.15,6031
2650,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,2,50.15,4226
8361,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,29.486911627824014,2593
629,1,0,0,0,51,1,2,1,0,0,0,0,0,2,0,0,0,83.4,3543
8951,0,0,0,0,6,0,0,0,0,1,0,1,1,0,0,0,2,55.93693040282599,5043
2428,1,0,1,1,17,1,2,0,0,2,2,2,0,0,0,1,3,66.7,148
5180,1,0,0,0,2,1,0,2,1,1,1,1,1,1,0,0,3,20.75,3738
4664,0,0,1,1,72,1,2,0,2,0,2,2,2,2,2,0,1,84.7,4834
6968,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,62.12724211737549,5379
8274,0,0,1,0,17,1,2,1,2,0,1,0,2,2,0,1,2,103.6825966343199,1262
884,0,1,0,0,56,1,2,0,2,0,2,2,0,2,2,0,0,73.25,3465
1685,0,0,1,0,72,1,0,2,1,1,1,1,1,1,2,0,1,20.5,911
7024,1,0,0,0,7,1,2,1,0,0,0,0,0,0,0,1,2,76.33847123205378,6066
5620,1,0,0,0,57,1,0,2,1,1,1,1,1,1,2,0,1,20.55,460
4541,0,0,0,0,52,1,0,0,2,0,0,0,0,0,0,1,0,49.75,2188
8178,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,81.81849753274969,6059
9268,0,0,1,1,2,1,0,0,0,0,0,0,1,1,0,0,2,65.58063256861831,616
5588,0,1,0,0,8,1,0,1,0,2,0,0,2,0,0,1,2,87.1,5592
3613,1,0,0,0,39,1,0,2,1,1,1,1,1,1,1,0,3,19.9,5980
3576,0,0,1,1,51,0,1,0,2,0,0,2,0,0,2,0,0,34.2,1313
2098,1,0,0,0,12,1,2,1,0,2,2,2,2,2,0,1,3,112.95,694
6617,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,43.74314258117154,6396
3085,1,0,0,0,4,1,2,1,0,0,0,0,0,2,0,1,2,85.65,2934
8157,0,0,0,0,2,1,2,0,0,0,0,1,1,0,0,1,2,64.58117466700153,988
5779,0,0,0,0,22,1,0,2,1,1,1,1,1,1,1,0,0,20.85,3828
1145,0,0,1,1,3,1,0,0,0,2,0,0,2,0,0,1,1,58.7,1171
6144,1,1,0,0,27,1,2,1,0,2,0,0,0,0,0,1,2,81.45,1749
6383,1,0,0,1,44,1,0,2,1,1,1,1,1,1,2,0,0,19.55,6096
6949,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,2,78.75328177712008,5912
6522,0,0,1,0,59,1,2,1,2,2,2,1,2,0,0,1,2,105.58954639470343,5064
5829,0,0,1,1,9,1,0,1,0,0,0,2,0,0,0,1,2,75.85,5195
7452,0,0,0,0,25,1,0,1,0,0,1,0,2,2,0,0,1,98.34809839841681,4180
